"CJ01A1_cov.sum","INRA.310_cov.sum","P10297_cov.sum","P1569_cov.sum","P1976_cov.sum"
"PITG_00051",65.6420210479704,59.5367364192535,48.221300131764,89.5257070804414,33.8352803417881
"PITG_00052",55.2722556526898,64.1477682472852,50.2593295425943,86.7154536368094,31.0467620297338
"PITG_00053",52.2509134146162,52.9547360279026,47.4982561487559,83.9855040188066,31.0465990393799
"PITG_00054",27.4334276304861,34.7483536622364,24.2146495918846,45.991349839242,15.3161776035875
"PITG_00055",56.425154716843,63.921577935162,53.8076096438289,96.5591621153272,31.9024544784641
"PITG_00056",55.915607071251,66.1163503068987,52.9959772665576,103.937521591873,34.1701654409311
"PITG_00058",39.3873417878434,34.606729992029,31.5178846577387,63.1521259294845,24.2611849058617
"PITG_00059",9.45956309788604,13.1093141875832,10.2221689031052,21.2606615621909,5.56820145548195
"PITG_00060",10.1933033232931,13.7173698793934,9.1683070785587,15.8919721076041,5.13989956464276
"PITG_00061",6.30872662772969,7.21448304476471,8.78692986554284,16.0061616177725,5.61961861756922
"PITG_00062",68.4068669287931,74.9771684226186,51.0395134037396,105.742555214407,29.5003093637657
"PITG_00063",81.4716942220016,92.0352825253813,75.3576334496226,143.098076212728,52.2033072163431
"PITG_00064",43.2606859829146,48.2834753159739,41.4418373556189,70.745223841452,24.8368087016928
"PITG_00065",38.6003452743714,39.3289793908649,34.4851222272255,60.0722999653386,21.9366158462975
"PITG_00066",49.2180145198948,54.8239732840285,41.4401258796623,73.5317413019696,24.5637164115159
"PITG_00067",49.0031229654724,53.6679403365526,40.945188153273,74.1679775221758,25.3394573402572
"PITG_00068",63.0414129503576,69.1925215366133,47.461463326106,101.793750819593,31.7002883187773
"PITG_00069",92.6612183631358,111.738470130035,85.8843492045666,149.206457931992,59.7186782933845
"PITG_00070",50.5667034396628,58.9299700645568,45.0670554632123,84.7613772991631,29.6833296800176
"PITG_00071",22.5925231529462,20.1143782289763,19.1418211989512,36.3903098410136,13.3490950431928
"PITG_00072",52.2578896052322,58.6104787505067,49.7310167801158,88.7983923671992,30.5155224412512
"PITG_00073",41.573841866585,51.0435252955719,41.6105204095124,75.9220514895473,24.467764886663
"PITG_00074",70.0184638417589,65.9587532009177,54.1387573710824,107.964280406568,35.7065432222669
"PITG_00075",37.8910860240776,40.3632055139881,35.9693454614785,73.5188229352452,22.1133577771869
"PITG_00076",98.2886248138148,68.540219149398,68.7932488415715,140.15367521375,29.2249864077882
"PITG_00077",37.4120591824338,40.7779813406502,33.3074587452738,60.6098739013535,19.9288000629708
"PITG_00078",44.7913419751087,48.2316549893906,41.6019808532205,70.7193939567191,25.8680589983777
"PITG_00079",32.4443044003828,32.5615038446573,28.5323210802021,50.3237802896441,16.4231992991229
"PITG_00080",14.2718044883664,22.9909290831615,17.403270899441,24.8822897046052,7.53619423181593
"PITG_00081",55.2927788454424,68.4825794012096,49.9788843416832,94.3292872032644,34.0424076381968
"PITG_00082",55.7848826366842,59.7892889239841,50.1471504384067,93.3085604707511,33.283392287401
"PITG_00083",38.6132681957845,41.6273785023599,32.9612875367032,68.1836603822333,22.71699959855
"PITG_00084",1.25216755836939,1.40769362971964,1.68285782309062,1.73437895314594,1.44632392462207
"PITG_00088",10.0273871471616,11.2696178931248,9.45284130171294,17.680475460332,6.51239810862567
"PITG_00089",24.4005639060814,25.9418878365364,17.9355423186207,33.865113280059,12.2826040802695
"PITG_00090",23.6341865556483,29.0356395761391,18.6059817493843,38.4062467010146,13.5900266040138
"PITG_00093",0.0489936778355927,0.0457349628137058,0.0209535826805748,0.151730487385706,0
"PITG_00094",17.7601001894908,21.0515916226902,14.3355278921974,39.1357640132173,12.8217632639394
"PITG_00095",13.988115121855,15.9245498609579,12.503271014932,37.4487767342374,8.81297662582531
"PITG_00096",29.1264588883978,35.5162940760753,28.9313611674375,76.4302060593819,17.6369166976852
"PITG_00097",11.9198593753214,14.6633279379684,10.7655727614021,26.2771417646952,7.76387651798384
"PITG_00098",16.01836935223,21.1312033929541,12.3846206591389,23.7712056308372,6.16186279841318
"PITG_00099",0.0244506875550962,0.078966070593325,0.0494953642985115,0.107771763048523,0
"PITG_00100",1.71478863684458,2.10370761645495,1.40146672275036,3.27867630231222,0.331813674536075
"PITG_00101",108.129648579635,120.459641875477,82.3804490889416,258.728069463443,43.9111646712082
"PITG_00102",3.07684092073834,2.95480619989069,1.9206386050356,4.12010112802156,1.39421429380524
"PITG_00103",12.4608841758419,13.0743690104765,10.6120836307032,22.8714426893363,7.29395081884555
"PITG_00104",0.0822603828184349,0.521252649639589,0.229708185431532,0.138976330717392,0.155709470322098
"PITG_00106",0.152789377219159,0.126371620326242,0.0248186132063851,0.0508757328546712,0.0513128702637652
"PITG_00107",2.93281446746215,3.69453870825923,2.88451811474122,5.02460403547887,2.33594968794414
"PITG_00108",19.4935157070015,26.8166502557105,27.9319794939637,29.3012880352282,10.2589862135569
"PITG_00109",68.8166229090764,60.0123652937707,54.776173357928,155.86477143158,37.7965318615331
"PITG_00110",53.9440306465371,49.0015004408688,50.3955787087432,127.431106958445,27.7536281626689
"PITG_00111",353.007547880182,383.978188290459,278.285404363794,734.950607542249,183.618746085665
