"FL2009P4_cov.sum","FP.GCC_cov.sum","H1306_1_cov.sum","H1306_2_cov.sum","H1306_3_cov.sum","ND822Pi_cov.sum","US0400009_cov.sum","US100006_cov.sum"
"PITG_00102",27.2293859492104,56.8457119635972,19.7953992648752,61.8824642454926,26.9624022612838,34.5028975191047,35.5925298014661,34.9134589872967
"PITG_00103",11.7327882847025,28.1350033499335,12.7605146646915,30.8360785293597,14.5204207798184,13.8345726913809,15.8078708458823,13.6950603140161
"PITG_00104",19.9881563555826,58.37552232708,26.2426197667985,67.867988416894,29.2471505265718,25.8476465206818,33.8582071538865,20.6648828397862
"PITG_00106",11.5571863479585,23.1004269981036,10.7160219088083,26.5357973644375,9.48461384302638,15.5158011157364,17.6012852770549,9.5539148828869
"PITG_00107",8.87683627702946,34.0512873479781,9.11601118501517,21.7895982891413,7.22120462708963,12.6123646647323,11.6908442105845,9.8801263856111
"PITG_00108",20.1370643380568,40.1244268747629,18.3313566209153,45.8486485254448,15.3297977883937,18.7030521040868,22.1147946288184,20.6750472813737
"PITG_00109",20.6876078342339,49.9011745250436,23.1601887381895,58.0701983962424,25.3753717820457,24.6006884929882,23.9229735468463,22.8120499306875
"PITG_00110",20.4266959031954,50.2776380535368,22.4430975339257,55.6634328971704,20.9895026962288,22.6647978652875,23.3996776974851,26.7980415153551
"PITG_00111",16.5813100446024,36.3352031132722,21.0285444312561,51.5482381732841,17.6702414425003,20.5032608976835,20.0615115971626,19.6535706090866
"PITG_00112",15.9456845861944,33.1781662022085,15.9429779053568,34.3558227258536,13.0452419275305,16.4273111841685,13.8756561664156,19.0551322053605
"PITG_00113",8.25099540707494,39.655619515285,12.3829116869079,40.4470422553071,18.3381893628621,14.7876824850184,10.0150189186564,19.9881848374035
"PITG_00114",10.9750203615266,22.4668360009131,18.6694866323381,51.4225165405956,17.3547052352317,3.65007696861177,3.99567063720396,13.0786151557879
"PITG_00115",13.4049714062506,34.1292084591555,16.7148495562855,37.6879153884709,16.232343926167,13.1906207078919,11.0767817840538,17.0821269804253
"PITG_00116",20.413652752955,52.7773680340962,21.250099267673,59.2738471412183,24.3786100436264,25.111155231092,23.4262223618538,24.4136748661076
"PITG_00117",22.1247301698106,42.2034351687295,23.6369897402951,60.3996573194383,21.6458746623531,27.0009745027458,19.3870853498057,23.5677570045165
"PITG_00118",23.4064160759307,55.2392257329226,24.3810341285021,47.091665787122,32.1358546264595,24.3600933540498,19.0266553604023,24.7073856257378
"PITG_00119",22.0518600865862,46.3957183238313,23.524722020585,48.8481906205754,22.3924326674963,23.8593285277623,24.3333140767433,22.3864020775313
"PITG_00121",18.7909878147447,40.3972459804145,21.0444123016536,54.8760072894296,24.614894535983,22.5704913797282,26.0539889812474,22.9756950436887
"PITG_00122",17.6073354715749,49.0770459089153,22.1207343257258,54.9965049281607,25.7234124072045,23.78851910711,26.0547135904708,23.6507193389533
"PITG_00123",17.1903867283263,47.6135303550253,21.8765083157397,49.0812891663657,20.146132112363,23.5601486378681,24.8545978471551,25.9827576653926
"PITG_00124",19.7603671562637,43.4627631400337,22.8899143470081,56.6551809179878,29.285166646558,27.8000495000287,20.6593125569317,24.05073027573
"PITG_00125",17.4850895162023,47.7428568216905,18.2330449250018,58.0618558372449,25.4442316148415,22.8430439399619,21.4876948742981,19.8154520865256
"PITG_00126",25.8646866235278,57.3879247056507,8.65994097543352,23.776536341266,5.14889315018775,21.3695534847531,16.2930302254755,22.5390500116239
"PITG_00127",26.2574063507284,54.4996596017913,27.276918416881,64.6610340754236,31.6110142773775,28.328512602742,28.4282966534323,25.5583338159042
"PITG_00128",19.2965149802921,41.8416660320731,23.7721356663956,56.7885046235645,27.2915725361064,22.7764397318757,23.7201290276412,23.574382124191
"PITG_00129",23.9313499862456,39.9807267271359,22.6266578211274,56.2929550765158,22.1004001439778,24.9902196212718,24.8132217782564,25.7854749958254
"PITG_00130",21.8175147798062,41.3523198071226,24.4808102141857,58.8956276618088,26.5457377595825,26.0200767820905,24.1766439390985,23.1187263213432
"PITG_00131",18.6736117587922,48.1461997142791,20.9627016152329,49.2461031641382,24.3478933471947,24.0808765654424,25.0131449024819,22.4494352808319
"PITG_00132",20.5789403289509,44.7174576037839,19.5193592796842,60.1164260918528,27.2462392104616,24.183285113726,24.1756778484846,23.2312722496579
"PITG_00133",22.3440506301226,50.8081703808683,22.34525109168,63.6859773733743,29.1328416879622,24.5056679019038,27.3081430215737,24.856735529256
"PITG_00134",20.7286241417221,50.6164169151043,23.5988481332417,61.0336389509652,28.2317526025717,25.3191378084954,27.7233606103592,23.5357160556328
"PITG_00135",22.0670264205483,44.2730029119409,23.1727781844555,59.5048360680102,28.5874930677298,22.6924940722363,20.5981215434584,23.2276215297824
"PITG_00136",27.7876775528762,50.3773088233679,25.0729456854521,62.0144860206357,25.8489496063066,24.2795070432744,32.9529480558869,23.638147325887
"PITG_00137",21.4400360312528,40.2684470550254,20.7475514849043,50.0216329864818,16.5602323953903,22.0309169398501,31.9768235965935,20.7760631237876
"PITG_00138",22.8538267704152,53.8725655302853,23.1191929731108,55.0376826432832,19.5345694368135,27.0715259464175,26.8658542506309,23.8372602997978
"PITG_00139",21.9644332109798,49.3669384449085,26.7348272806618,59.0631157418343,29.0564074890445,30.0508184062651,21.2301520972543,25.2366332575392
"PITG_00140",20.4174124801576,51.3086198315126,21.5390101579255,62.5018944556599,29.7715579728385,23.9239191327668,25.8476387954387,23.0674526191767
"PITG_00141",22.7783021943739,48.9264628503919,24.1717216971007,63.2550200742693,28.1536680504575,26.1891871327417,27.1243470690491,24.8879747251765
"PITG_00142",24.1219672241247,50.5355394875095,22.0862431598862,61.9592812628809,25.817831989028,27.3028125631476,22.3141371752866,25.0542227385037
"PITG_00143",20.6314257849589,37.4139360516942,21.7624730478625,56.8331559003855,24.2611595463415,24.3458270248387,24.7804915025243,25.6424961918092
"PITG_00144",22.8420372356399,47.7077175169537,24.3275369051159,59.283414160257,27.4816667064853,23.4812804628715,24.5091565106334,25.0889502575133
"PITG_00145",24.5463881658465,47.9751356692856,19.6428056198712,62.4452332781455,26.1343151392195,21.5355134047658,25.6271029024471,21.0912895405785
"PITG_00146",23.3016790548972,53.2702508475757,23.0387448319217,59.8893902503726,24.907793839743,23.4175705115756,25.4376512297169,24.7411047637369
"PITG_00147",24.4547669844825,46.2869671327922,23.6863365442495,61.5836818585485,26.4093189104988,27.1976171070197,26.6885289475319,25.122762763541
"PITG_00148",21.1877052798689,46.251844245542,24.2620343692518,58.5061885536394,20.5945267308256,24.0058760072727,25.8649879497446,23.4893254999918
