"DDR7602_cov.sum","LBUS_cov.sum","NL07434_cov.sum","P10127_cov.sum","P10650_cov.sum","P11633_cov.sum","P12204_cov.sum","P13527_cov.sum","P13626_cov.sum","P1362_cov.sum","P6096_cov.sum","P7722_cov.sum"
"PITG_00016",18.3625434031322,16.0864257996464,60.5257782837231,17.4577639532217,13.6515790029849,8.06429875915093,10.0481123522736,22.1113704875467,39.0865485492715,4.89827929608081,10.1566939443536,17.1841403646257
"PITG_00019",23.2530331817784,23.0457979918918,66.804926712434,19.550636182713,13.6778920833655,8.97175482639208,13.1259488974476,27.1147356809964,48.6974053003765,3.914623180096,11.7018054966744,8.39772228644421
"PITG_00020",21.3805204402058,17.3562542341604,64.7960104183889,19.5562102379048,13.2777873516085,8.6659602777164,11.4284792986824,25.7136113303544,40.071723764522,3.83369436872253,13.7605481108491,15.2384426262803
"PITG_00021",21.1767939826057,20.4916768198447,60.8162204015104,20.2249881928056,13.1817126636292,7.29477582959767,11.4578353134687,21.9318764094893,39.3200217604235,3.73626012925424,12.3569161807905,14.8260191215382
"PITG_00022",18.4689118211298,17.419033694438,63.0827242652586,18.454427581065,12.4099493400516,8.13205234468357,10.9211608752123,22.8956162779281,40.487252669736,4.43156519478261,11.8943491030053,16.9763722292576
"PITG_00023",16.9652140059196,18.3201093808293,63.2464693830704,17.0694404509819,11.8112539634871,6.09365141116629,12.5742784814643,19.9743094372454,34.4430339527467,2.48227222108724,11.3710265745831,13.0857744725797
"PITG_00024",19.2011724065975,21.3631960906011,65.4310348678814,19.1629245092349,12.0114006514658,8.28434504792332,11.767867305069,23.63314084995,40.1152434889505,4.67936623793813,11.5654141196469,16.3177184015762
"PITG_00025",21.4191429152308,18.4336415347638,66.8506931354686,19.9259959878935,12.305704990191,9.13607662421605,11.232326729255,24.4699004093951,40.9142082276491,4.48920468225913,11.4233281948538,17.4620273113999
"PITG_00026",18.2527539979686,16.1964307850592,71.7295038742318,14.92786783436,12.5808133999868,9.70567456986439,12.5074920405551,22.4382236718036,40.2041131237199,3.73122138441533,11.0003371363794,17.7728340250019
"PITG_00027",19.4628336106812,20.601879096628,62.4237571327813,16.419598936889,9.95967642925312,5.89930766183519,8.02697076691367,24.448609603152,43.3847644550525,4.58739590386779,12.361758154578,16.0118541635127
