"BL2009P4_cov.sum","IN2009T1_cov.sum","Pi1845A_cov.sum","Pi1845B_cov.sum","Pi1876_cov.sum","Pi1882_cov.sum","Pi1889_cov.sum","RS2009P1_cov.sum"
"PITG_00164",26.0885571114846,22.3073290273383,5.48093766818659,0.653184867052763,1.29924622579703,0.686925866876381,16.2624050172548,36.5741004323537
"PITG_00165",28.3730953013793,23.435498970057,5.23364500966732,1.11618891971879,1.14997673407101,0.907441201840688,20.3636487444667,36.1726379560846
"PITG_00166",33.3717948727254,22.8053332019994,5.44043894130145,0.790147313839903,2.09041296156034,0.881742462827279,15.7440492773296,33.5436995791466
"PITG_00167",24.2001399961871,23.6888312405984,5.37854352616574,0.870244278221349,1.07700257275407,0.620052766435412,16.5680040674384,33.2540906938718
"PITG_00169",25.8180411002787,23.98602427363,6.53422564421464,1.00681191395477,1.72917297699232,0.97997915960207,18.6922917096781,35.781122463262
"PITG_00170",30.7610895684928,26.0348949283509,4.80416397176035,0.739766864225277,1.19678525534295,0.628108487010259,14.5353598544092,42.2309378837634
"PITG_00171",25.5528033650884,26.0585527906343,6.49486692899503,0.702352928296362,1.58358731895642,0.440098243693433,18.5218218968306,39.2343643849339
"PITG_00172",26.8920485441664,24.0841751511427,5.90262608115179,0.78588382075815,1.31104471603788,0.735178480877488,16.8117056491847,31.5819336538349
"PITG_00173",24.9939210142821,19.7779440204355,5.95221746319321,0.410187241903273,1.55553535947987,0.630681716658048,16.6877619990565,34.6395917448194
"PITG_00174",29.6610464634485,32.9536022402441,7.15206246120479,0.820546640596333,1.26419187899214,0.585343406407315,14.5591831889882,36.9614686906083
"PITG_00175",31.1864448314649,27.5917011750842,6.31805464264473,0.57914341389004,1.67012191526266,0.94879307522905,20.3684352915703,48.2073981646718
"PITG_00176",24.8474876505601,23.8303375806687,5.26750223917403,1.04992811212567,0.963718822213114,0.700366072424417,16.9634433397798,34.4735721175375
"PITG_00177",23.2026295386841,23.8742571773679,4.43591284879984,0.908821358499001,0.962469705056361,0.756003514375937,17.7227909609698,32.5943169519767
"PITG_00178",26.8440366250676,24.2249905231335,4.82075066825233,0.704388165212409,1.28285567123021,0.528040265453045,16.8180542418128,32.723858871621
"PITG_00179",30.1872301573663,22.8300748771747,5.58729832408994,0.380475088926161,2.7820866930812,0.520147797465814,19.5593546950077,38.2117623738637
"PITG_00180",23.6514164602096,26.1558640135639,5.4972762783725,0.753000820776659,1.33122438821823,0.696755772573037,17.0067493659819,37.6118797420192
"PITG_00181",27.5312611751333,27.0003554325727,5.22584489225265,0.927692871290123,1.5008913817852,0.657284764198089,19.5199478906635,37.5322270048459
"PITG_00182",27.2321172988155,28.7091865351653,7.16678499596313,0.943210924611049,1.32099832890758,0.740219801353898,20.9347937900185,40.3114606278312
"PITG_00183",24.3977276565615,22.4029738826997,6.20520204457821,0.782991525017309,1.58231982105859,0.725227145847113,18.4129537503692,33.8987299401076
"PITG_00184",26.6106172329699,26.5864052567855,5.41218496197439,0.59436300741079,2.12402595154231,0.672916666666667,20.4175565504412,30.7732040025459
"PITG_00185",26.8763571558232,27.105047359194,5.84861553725484,0.892732146389343,1.34159590162699,0.642796189619548,19.473985210123,35.3462698446919
"PITG_00186",27.8833673379659,22.008525871769,5.47198538841632,0.726475590487771,1.17551257222848,0.545960142222458,18.0740843518121,31.9346517817674
"PITG_00187",26.1150766898417,24.7473031640447,6.31149291472466,1.14393996869092,0.981601434186425,0.805185201738029,18.0663874545166,33.4732506511279
"PITG_00188",27.1748536999466,24.9014298905051,6.09569283871638,0.789525405373921,1.15107797977978,0.83679834602774,24.0663463521513,33.7163823625666
"PITG_00189",25.1579698294282,22.2376348427741,5.80092391747172,0.907336051146102,1.48470926317705,0.806117790017232,17.1424768511574,36.5109079513722
"PITG_00190",25.409218306159,21.1758270214405,6.20078089708953,0.598307846560155,1.38499847635972,0.560278085703602,17.6492483579602,36.8737317293543
