"X90128_cov.sum","F18_cov.sum","PIC99114_cov.sum","PIC99167_cov.sum","PIC99189_cov.sum","t30.4_cov.sum"
"PITG_00022",6.25061743494278,2.67187680893207,7.85932034270573,1.51521743432785,5.70825401019957,10.2783715557625
"PITG_00023",5.25788796950771,2.30947875365055,6.9152991574481,1.12955738815595,5.65681177435312,9.90605936854955
"PITG_00024",6.34008718911044,3.03178309814866,8.11503253538196,1.1516690724881,6.38185789403808,10.2035694371935
"PITG_00025",5.86009171565246,2.2281260671968,8.01563598800035,1.03712667673106,6.12479029194944,10.4745719761582
"PITG_00026",6.68859392725666,2.45796994769257,6.47343602319823,1.20283055236033,5.60985346105083,11.2588843845246
"PITG_00027",5.31153519412767,1.40628948315976,5.53322634557982,1.23497401020584,6.65443781773051,10.659286108252
"PITG_00028",6.85734412882068,2.02787217030811,6.45477893383461,1.13119529905224,6.1776794316553,9.88847346069133
"PITG_00029",5.91181982361336,2.55443135602387,6.99770114681371,0.933614037745117,6.26149093396602,10.2675426207521
"PITG_00030",5.554666352126,3.05283113453151,7.28068847720379,1.20837456181118,5.6181899812426,10.1668932879294
"PITG_00031",5.72295464519814,3.32966343024465,7.88002722364734,1.06601319345417,6.10827394194612,10.2224194130095
"PITG_00032",6.57075618982156,2.85329802150567,7.83870348121319,1.37324184270123,4.94472097651971,9.78627058465615
"PITG_00033",6.86559724134234,2.07302010356885,6.57826440826286,0.935343651810372,5.85545856571094,9.28779327134106
"PITG_00034",5.99504157193427,2.27065061283953,7.00008082792706,0.741458228255974,6.41379954072456,11.1268209603274
"PITG_00035",6.43362258731012,2.14387651774296,8.42169630164213,1.17685491659509,6.16782964796117,11.4245166195356
"PITG_00036",6.82283029554954,2.73070620711103,7.44774740565872,1.32290133085817,5.99952246165391,10.5133874057494
"PITG_00037",6.25115689392509,2.92093542121734,7.51556144117509,1.07993251417707,6.52747732220754,9.93765332834226
"PITG_00038",5.09554306745553,2.25989261808713,7.29700743656409,1.22669828660191,5.33059873322113,9.4275882766211
"PITG_00039",5.48900047267464,2.51935108012224,7.13054663751385,1.28173719027334,5.06785928805715,9.76847341615163
"PITG_00040",5.11402869884222,1.1210015912975,1.45663991903039,0.24345682266303,6.46316490026021,6.78753271556236
"PITG_00041",1.82780080458758,2.15090769446105,6.05569000976747,1.12675163307497,1.35392042215079,5.39433048850009
"PITG_00042",4.47017446886102,1.79558789816077,7.6693043037097,1.10342487741452,5.93555335352549,11.6629219874035
"PITG_00043",6.49136683475782,5.67817235678821,7.48584577543527,1.16485810276646,6.02845977546363,9.48000894094738
"PITG_00044",6.66724270647393,4.2559268857438,7.31639629129193,1.62900994361464,7.00676576316785,10.6116943416321
"PITG_00045",6.36934610966441,3.12970873012185,7.77827300411616,1.46088931664189,6.13751913479451,10.0271749779827
"PITG_00046",6.01622441920894,2.74338987015504,7.19628014470988,1.17186350746317,5.83947527610423,8.89699235412271
"PITG_00047",6.10771409614149,2.89826212091816,7.22243792530326,1.17778246981405,5.96465038378674,9.40185295809534
"PITG_00048",6.41732161394423,2.63018812790029,8.89237107096305,1.47150682179194,5.72225655180482,10.7897239625652
"PITG_00049",5.81689572823354,3.19552581291416,8.67157915293895,1.06626400857582,5.49584621759499,10.1605769489016
"PITG_00050",6.71419408102169,3.02578698663167,7.91324717794969,1.39547782718719,5.89863178493774,10.5491646380335
"PITG_00051",7.21521329693295,3.62029496987039,8.34332282843734,1.68816598349331,6.99990102070722,10.6221753984634
"PITG_00052",6.2298422567381,3.49241857236539,7.39065035119144,1.35038568223527,6.07606880417311,9.48682692577596
"PITG_00053",5.88878310600866,3.3668244344811,7.12079901804597,1.30774753270107,5.96280937398074,10.5319001090395
