"X06_3928A_cov.sum","P17777_cov.sum"
"PITG_00059",64.5170891047842,77.501103807318
"PITG_00060",59.2445332959,69.897261967426
"PITG_00061",53.6925219420146,68.2462564135188
"PITG_00062",41.6437628755009,66.7297198869664
"PITG_00063",50.0982719401881,60.8329158718779
"PITG_00064",51.2739830050599,62.6985631387787
"PITG_00065",62.5765983788749,83.7112886982798
"PITG_00066",51.6444699426171,68.1129502721492
"PITG_00067",55.2171687435704,72.475885766407
"PITG_00068",56.4054567741535,70.6519529678176
"PITG_00069",58.9961096447688,65.8669308720888
"PITG_00070",61.1414958011283,73.3768554869973
"PITG_00071",59.0066181728175,65.774185416279
"PITG_00072",55.7442721101902,67.7454635472719
"PITG_00073",64.5431092690906,74.5639911145921
"PITG_00074",57.6394092458569,73.8958778791741
"PITG_00075",57.6245348197004,76.8577569207702
"PITG_00076",55.924166984962,68.3289382534527
"PITG_00077",59.1523745006454,72.5048411354111
"PITG_00078",64.774602338539,81.7351117883057
"PITG_00079",57.0792854416306,73.4199360606446
"PITG_00080",63.0197886872533,64.1828656224144
"PITG_00081",64.8198989555919,81.0404374181608
"PITG_00082",58.694639462202,72.1707339703144
"PITG_00083",54.2382653322509,72.2542239059106
"PITG_00084",39.1307914588971,59.328394248233
"PITG_00088",29.2050416111062,51.2744971124438
"PITG_00089",26.2806239088417,39.1773316698021
"PITG_00090",19.7109778483839,37.3970197461927
"PITG_00093",16.1677412464349,25.2258465133575
"PITG_00094",21.4892806522131,36.9023628019315
"PITG_00095",38.9319009569879,51.4380997006364
"PITG_00096",50.3018796267988,89.1819096466048
"PITG_00097",59.9378484934002,88.1024659225928
"PITG_00098",45.1812571619628,66.3676266290767
"PITG_00099",33.2746868249003,53.7786257552024
"PITG_00100",15.8654707541383,20.8898665359342
"PITG_00101",61.4758195064802,93.5398976057773
"PITG_00102",77.7846833014538,112.673002078159
"PITG_00103",23.469755705374,36.0249540175232
"PITG_00104",34.1563196364613,70.6314819009239
"PITG_00106",16.918769283175,23.0806117967232
"PITG_00107",32.1609960327734,35.5536611135717
"PITG_00108",54.5860889754851,64.457522976065
"PITG_00109",61.2868670507954,75.7224541301009
"PITG_00110",52.70844080529,62.4300850501663
"PITG_00111",44.7106092879356,51.0381394545309
"PITG_00112",34.2308574204529,43.0402343607551
"PITG_00113",47.5330383135192,61.8270933893792
"PITG_00114",18.5709836319002,39.6104179698881
"PITG_00115",35.4124729523127,53.0478101241122
"PITG_00116",54.9286858045185,63.8679205454307
"PITG_00117",58.6711878195504,76.8026797125415
"PITG_00118",44.7911073429065,46.1316858631792
"PITG_00119",50.5935827085118,59.4058339363406
"PITG_00121",67.8670073428135,80.2612902514153
"PITG_00122",57.3476734699422,66.0205467701598
"PITG_00123",52.4264069724984,61.9120879449174
"PITG_00124",59.8174185524142,64.4107045069084
"PITG_00125",54.5392014655792,58.2637988629178
"PITG_00126",87.3085755359795,62.5339813804055
"PITG_00127",61.910151481946,71.1474328180766
"PITG_00128",64.5317078329452,67.5445516185426
"PITG_00129",58.8342356293514,69.127716264996
"PITG_00130",58.8193374015138,76.810726049739
"PITG_00131",48.2992755337819,53.7670916639724
"PITG_00132",62.8259155207556,70.5779687361646
"PITG_00133",71.3438812415995,79.2173212817538
"PITG_00134",61.2995757963401,76.3842380437224
"PITG_00135",59.1074918605075,65.4523711529057
"PITG_00136",67.09751635251,67.2144136669602
"PITG_00137",54.900371282883,59.3413059349694
"PITG_00138",65.2093119533301,77.7407676218868
"PITG_00139",67.7101393078023,74.7992987978756
"PITG_00140",65.2789336806878,77.4075883537064
"PITG_00141",67.8871249834483,76.7975798279543
"PITG_00142",64.6210341895877,73.359272657804
"PITG_00143",64.2917272809926,71.9076461412248
"PITG_00144",59.7880614610551,67.9931921345668
"PITG_00145",73.7877546492814,95.6694379432033
"PITG_00146",67.3331403907866,81.0564057811456
"PITG_00147",56.2205289269452,70.6791034625108
"PITG_00148",57.9627853417107,73.8630860034006
"PITG_00149",69.5404169436597,75.3617943442239
"PITG_00150",50.7157081334176,60.4923461032401
"PITG_00151",52.3150598577426,58.560666366666
"PITG_00152",62.7502152853621,71.3027218644997
"PITG_00153",52.2666377717281,69.2975211527522
"PITG_00154",64.1818719513476,73.8710322129261
"PITG_00155",67.5993974183745,67.8134997628613
"PITG_00156",66.1325961551384,68.2264053329365
"PITG_00157",59.4270506675278,68.4062566911769
"PITG_00158",68.4422030875399,69.3218387940283
