"BL2009P4_1x.cov","BL2009P4_cov.sum","BL2009P4_cov.sd","IN2009T1_1x.cov","IN2009T1_cov.sum","IN2009T1_cov.sd","Pi1845A_1x.cov","Pi1845A_cov.sum","Pi1845A_cov.sd","Pi1845B_1x.cov","Pi1845B_cov.sum","Pi1845B_cov.sd","Pi1876_1x.cov","Pi1876_cov.sum","Pi1876_cov.sd","Pi1882_1x.cov","Pi1882_cov.sum","Pi1882_cov.sd","Pi1889_1x.cov","Pi1889_cov.sum","Pi1889_cov.sd","RS2009P1_1x.cov","RS2009P1_cov.sum","RS2009P1_cov.sd"
"PITG_00022",1633,35561,4.60787216852818,1633,38948,4.72889674538521,1633,12414,4.07732203550427,1033,2111,1.34494407327382,779,1568,1.27821411904493,617,786,0.678666667386158,1633,29910,9.59520639764624,1633,48178,5.09795215514724
"PITG_00023",1812,39006,5.30212174676997,1812,43518,5.37934282899089,1803,11424,4.04323958464247,1254,2260,1.15340137588728,1311,3210,1.55683963171811,689,978,0.811342518893182,1812,33126,12.7568791752275,1812,54442,4.59901132049274
"PITG_00024",1959,38777,3.69164476156946,1957,48983,5.90147084946318,1957,12514,3.46610286876689,1194,1577,0.785956595924898,1203,2784,1.70194341301842,1044,1571,0.912167391882227,1959,41046,5.23242156562526,1959,66867,5.06637388618033
"PITG_00025",1831,41668,4.15957968114531,1831,45453,5.0865392391888,1813,10730,2.85153659438321,996,1621,1.00596983101114,1367,2968,1.46338828884312,815,1043,0.791647536668527,1831,34112,7.57904371966318,1831,57889,4.8316515594981
"PITG_00026",1390,37240,3.33896174234306,1390,33461,3.31713065168018,1227,8696,4.39785462305392,694,1254,1.36570499234623,886,1647,1.21943782377653,550,731,0.745790985673558,1390,28861,7.14375321960519,1390,43022,5.39996222830929
"PITG_00027",651,15105,3.78361549173467,651,17366,3.22170794816555,636,3718,3.80520051858608,351,618,1.0592647587542,415,1072,1.80969202623649,184,184,0.450630081290901,651,12989,7.56993281237573,651,20174,5.32612208924204
"PITG_00028",1660,42157,4.27371026704093,1660,44765,4.88833585514502,1631,8072,2.93743114136773,780,1140,0.812466323773724,1095,2235,1.58728908092805,937,1380,0.869679149450046,1660,25075,5.30859341800149,1660,56717,5.77187260671017
"PITG_00029",1610,42132,4.94405525641066,1617,44233,5.20461538464949,1551,7160,2.8068886844509,626,787,0.671172744833839,1098,1955,1.09435663534243,706,938,0.761007827352209,1611,25423,9.69396579359989,1617,59359,6.12349137775508
"PITG_00030",1116,28184,5.26888894088307,1116,26433,6.36967344262317,1099,5770,2.3799710458632,706,1429,1.60693959126055,669,1058,1.07435898630954,730,1118,1.04602446865833,1116,16905,6.03343485737726,1116,35338,5.43783977506015
"PITG_00031",882,18399,3.50803309345311,882,21007,2.91530290802329,866,5649,3.13931172282653,463,1023,1.77588180001381,539,920,1.17791000380408,461,593,0.750561642646479,882,18554,7.63919927062588,882,22278,4.42198886236197
"PITG_00032",1718,45074,5.88256525639228,1718,44585,6.00024218618054,1635,10569,4.00737153176659,848,1939,1.46847497802931,1228,3702,2.66525071742769,1058,1572,0.87666724410558,1718,32309,20.1498818135155,1718,65901,8.77670354166404
"PITG_00033",889,16741,4.5275297373013,889,19039,5.69277307277033,889,6021,3.42521473604233,590,903,0.983981803029217,615,1222,1.32978079664878,377,465,0.669288715693951,889,15270,6.32751688882889,889,24807,4.6027891185584
"PITG_00034",1971,44624,6.06345303109967,1971,43182,6.62028729588978,1829,13672,4.26823187349169,1032,2061,1.37746372002283,1165,2512,1.50338135665312,964,1215,0.703878810108627,1971,35970,7.54738624924115,1971,54024,8.30077314223352
"PITG_00035",1739,41382,7.66216842845997,1739,45775,7.20224128632174,1679,12620,4.28783847732042,673,914,0.773411461108101,1003,2306,1.64588442332754,465,593,0.627700911586907,1739,34161,5.94608814845878,1739,57128,6.16097939977955
"PITG_00036",2056,45993,4.91223837174665,2056,47671,4.32283886684086,2056,15549,3.16303975637996,1603,2765,1.21035784260302,1383,3335,1.54374296145206,832,998,0.641456014391248,2056,39261,7.01101406798113,2056,58973,4.6458453359032
"PITG_00037",1307,31885,5.58647008224672,1307,31415,2.7653663498625,1239,9357,4.50309560363772,634,1129,1.2016318106553,967,1944,1.26580110962055,615,886,0.862433152830848,1307,22486,7.26549967011546,1307,47127,7.23901164700962
"PITG_00038",2903,68732,5.14234408544118,2903,67476,7.22859053735444,2896,19170,3.93173328049824,1727,3146,1.36898037861469,1701,3724,1.48305525246577,1003,1284,0.705908271829991,2903,54373,14.1792000316696,2903,87200,6.80580872169639
"PITG_00039",2330,54091,6.05461313107561,2330,51746,4.53717190161737,2207,14838,3.40333290696901,1139,1797,0.953867945669098,1373,2408,1.17352153244824,927,1330,0.801141159755743,2330,46103,5.91731300474045,2330,69589,6.47615067969441
"PITG_00040",3023,79504,13.0722464139306,2959,99061,18.8480286899108,2849,35497,9.21416998987416,1861,4068,1.60723200486914,2822,10917,2.79019954287841,2318,4517,1.17411725740723,3059,73356,11.2357038219694,3042,78436,12.4577333701525
"PITG_00041",62,62,0.336934695368324,25,32,0.303830768324454,277,423,0.898066624530952,88,88,0.388603687814597,150,234,0.814301620770018,37,66,0.524853341913215,294,1020,2.39309784447546,74,96,0.544133604843874
"PITG_00042",362,11439,5.41233839445849,362,11408,3.57756588632377,348,1560,2.63439221535381,252,319,0.713720433006741,250,470,1.10373202908841,112,144,0.646143968340853,362,5142,6.26887685120381,362,9406,4.05430606297999
"PITG_00043",2137,45180,4.60642150565966,2137,55851,6.14219445840191,2129,13444,3.13767722903371,1102,1743,1.01241312071761,1496,3393,1.4980947299541,1016,1480,0.875972359307671,2137,43499,6.42274113087264,2137,65832,4.90129196683203
"PITG_00044",610,15755,4.78484989881612,601,13460,5.54684144343915,542,4074,4.50670417418996,433,735,1.0913793007766,434,1170,1.62588949475958,285,520,1.08937344450912,610,7841,6.9740328536065,610,19624,5.02216251651589
"PITG_00045",4243,88286,4.77774989643267,4243,93275,5.29808777486158,4207,29086,3.48904999106721,2077,3250,0.942551347060849,3203,6441,1.26827710302448,2004,2549,0.729857217152002,4243,88271,10.9130857077256,4243,105842,4.90086072946178
"PITG_00046",2619,57206,4.83466867430163,2619,70395,4.29567036970849,2479,12470,2.91369684772384,1310,1705,0.748062130674671,1261,2613,1.33901698409248,1292,1743,0.791715257837982,2619,44601,6.91163468595271,2619,82923,6.28414112857951
"PITG_00047",2803,68925,6.2468019192319,2804,64837,4.5240943133674,2764,14347,2.57100158124763,1690,3002,1.13858111924905,1736,4911,1.91456327994333,1528,2187,0.873954561436957,2803,48978,6.47655175412938,2803,87218,5.4758851748362
